User_ID,Company_ID,UserName,User_Role,Department,Access_Level,Is_Internal_User,Last_Login_IP,Compromised
1,49747,joycerichard,Contractor,HR,Medium,TRUE,172.22.236.195,FALSE
2,24956,joshua29,Employee,Operations,Low,TRUE,10.17.239.181,TRUE
3,702,cruzana,Contractor,Security,Medium,TRUE,10.62.143.250,FALSE
4,6425,ojohnson,Admin,HR,Medium,TRUE,172.28.204.29,FALSE
5,30006,webbjanice,Executive,HR,High,TRUE,172.18.90.19,TRUE
6,26016,victorsweeney,Employee,IT,Low,TRUE,10.193.60.213,FALSE
7,1722,tannersmith,Executive,Security,Low,FALSE,172.17.142.53,FALSE
8,41245,aaronwood,Executive,HR,High,TRUE,192.168.254.166,FALSE
9,33215,ericschmidt,Admin,HR,Medium,TRUE,10.164.158.87,FALSE
10,1891,drewdixon,Contractor,Finance,High,TRUE,10.203.68.152,TRUE
11,14062,brianjones,Admin,Finance,Medium,FALSE,172.21.129.239,FALSE
12,24225,kgardner,Executive,Operations,Low,TRUE,192.168.18.114,FALSE
13,37265,devans,Manager,Operations,Medium,TRUE,172.25.242.85,FALSE
14,24883,stevenselizabeth,Admin,IT,High,FALSE,172.19.134.250,FALSE
15,42868,youngjoseph,Manager,IT,Low,TRUE,192.168.213.18,FALSE
16,40589,drakeheather,Admin,Operations,Medium,FALSE,172.19.133.66,TRUE
17,20943,deborahhughes,Contractor,Operations,High,TRUE,10.70.128.158,TRUE
18,9613,wjohnson,Employee,IT,Low,FALSE,172.31.120.81,FALSE
19,19916,austin55,Employee,Finance,High,TRUE,10.139.233.242,TRUE
20,6826,jonesmark,Executive,Finance,Low,TRUE,10.45.90.215,TRUE
21,32789,elizabeththomas,Executive,Finance,Low,TRUE,10.35.232.242,TRUE
22,33870,colemankevin,Admin,Operations,Low,TRUE,192.168.89.146,FALSE
23,41097,benjamin68,Contractor,Operations,Medium,TRUE,192.168.228.19,FALSE
24,15974,simpsonkaren,Executive,Finance,High,FALSE,172.17.31.102,FALSE
25,32110,kellyspencer,Manager,Security,Low,TRUE,10.251.180.214,TRUE
26,21655,zschmidt,Admin,HR,Low,TRUE,10.164.86.148,TRUE
27,12559,mccarthymark,Executive,Operations,High,TRUE,10.247.148.64,FALSE
28,17260,burnsbrittany,Admin,Operations,Medium,FALSE,10.162.253.220,FALSE
29,25991,sharrell,Manager,IT,High,TRUE,10.146.202.186,TRUE
30,41902,hailey97,Manager,Security,Low,TRUE,10.48.32.177,FALSE
31,36925,qwashington,Admin,IT,Low,TRUE,192.168.168.10,FALSE
32,43104,bennettjames,Admin,Security,High,TRUE,172.30.141.190,FALSE
33,35155,douglas04,Contractor,Operations,Medium,FALSE,192.168.205.40,FALSE
34,33881,kelly81,Manager,Operations,Medium,TRUE,10.187.47.125,FALSE
35,20573,campbellkaren,Admin,Finance,Low,TRUE,172.28.237.75,FALSE
36,1408,christopher18,Executive,Finance,Low,FALSE,192.168.252.140,FALSE
37,21292,lisakim,Manager,Security,Medium,TRUE,10.179.83.104,TRUE
38,42767,jonessusan,Executive,Operations,Medium,TRUE,192.168.96.45,FALSE
39,549,kimberlyperez,Contractor,HR,Low,FALSE,192.168.174.81,FALSE
40,32571,jonescynthia,Manager,HR,High,TRUE,172.21.27.51,TRUE
41,46866,irwinjeff,Admin,Operations,Medium,TRUE,172.27.204.173,FALSE
42,20487,michaelwalker,Admin,HR,Medium,FALSE,10.74.79.242,FALSE
43,29497,monicasawyer,Executive,Finance,High,TRUE,10.244.199.109,FALSE
44,31443,shannonmartin,Admin,IT,Medium,FALSE,10.122.172.173,TRUE
45,5693,robertskyle,Admin,IT,High,FALSE,172.17.210.29,FALSE
46,43608,uwilliams,Manager,Security,Low,TRUE,10.229.1.239,FALSE
47,27280,crichardson,Manager,HR,Medium,TRUE,192.168.92.233,FALSE
48,1984,christinajohnson,Executive,IT,High,FALSE,172.26.206.159,FALSE
49,13057,jacqueline90,Admin,Finance,High,TRUE,172.17.26.165,FALSE
50,45989,larry48,Admin,IT,Low,FALSE,10.150.97.125,FALSE
51,9275,gibbsjessica,Contractor,IT,High,TRUE,172.21.3.145,FALSE
52,48897,christopher44,Manager,Operations,Low,TRUE,172.22.114.144,FALSE
53,2513,gmanning,Contractor,Security,Low,TRUE,192.168.192.10,TRUE
54,28306,ulee,Executive,Finance,High,TRUE,192.168.10.48,FALSE
55,2678,dennisgillespie,Admin,Security,Medium,TRUE,10.243.182.93,FALSE
56,24563,greerjoshua,Contractor,HR,High,TRUE,10.34.26.239,FALSE
57,40570,jsanchez,Employee,Security,High,TRUE,192.168.55.86,FALSE
58,41754,jeanettehatfield,Contractor,Finance,High,TRUE,10.183.75.174,TRUE
59,26306,imendez,Admin,IT,High,TRUE,172.22.107.243,FALSE
60,45775,francesmartin,Manager,IT,Medium,TRUE,192.168.127.197,FALSE
61,21440,lturner,Manager,Operations,High,FALSE,192.168.168.9,TRUE
62,23373,blakegeorge,Manager,Security,Low,TRUE,10.74.177.95,FALSE
63,41723,gpena,Manager,Operations,High,TRUE,10.140.176.125,FALSE
64,23788,tburns,Admin,HR,Medium,TRUE,192.168.158.252,FALSE
65,35948,sophia96,Manager,HR,High,TRUE,192.168.147.29,FALSE
66,29126,alexandraeverett,Employee,HR,Low,TRUE,172.25.202.222,TRUE
67,14220,josephfriedman,Contractor,IT,Low,TRUE,172.22.82.136,FALSE
68,10704,ericayers,Admin,IT,Medium,TRUE,10.109.108.9,FALSE
69,9186,gwheeler,Executive,Finance,Medium,TRUE,192.168.147.188,TRUE
70,14259,xhatfield,Employee,HR,High,FALSE,10.13.174.3,FALSE
71,44865,johnstonjason,Employee,Security,Low,TRUE,172.31.208.22,FALSE
72,36762,eddie05,Contractor,IT,Low,TRUE,192.168.24.201,FALSE
73,27970,snyderterry,Contractor,HR,Medium,TRUE,172.19.86.154,FALSE
74,37326,tbuckley,Executive,Security,Low,FALSE,192.168.13.96,TRUE
75,22970,mknapp,Executive,Finance,High,TRUE,172.22.143.75,FALSE
76,3379,calebmcbride,Admin,Operations,High,TRUE,192.168.120.118,FALSE
77,25350,kevinjames,Executive,Operations,Medium,TRUE,172.22.213.148,TRUE
78,47296,zalexander,Contractor,IT,Low,FALSE,172.24.126.114,TRUE
79,48743,philliplewis,Executive,HR,Low,FALSE,172.20.254.175,FALSE
80,6220,gallen,Manager,Finance,Low,FALSE,172.26.148.57,FALSE
81,34723,michael54,Employee,Security,High,FALSE,10.221.44.220,FALSE
82,10785,thutchinson,Employee,HR,High,TRUE,172.31.130.241,FALSE
83,14218,rushisabella,Contractor,IT,Medium,FALSE,172.31.35.182,FALSE
84,23263,paulacrawford,Employee,Finance,Low,TRUE,192.168.166.196,FALSE
85,25205,amandajohnson,Executive,IT,Low,FALSE,192.168.243.71,FALSE
86,28460,ckelly,Employee,Finance,High,TRUE,192.168.2.119,FALSE
87,17750,rhudson,Employee,HR,Medium,FALSE,192.168.231.130,FALSE
88,27961,ianderson,Executive,IT,High,TRUE,172.31.213.141,FALSE
89,16448,vsmith,Employee,Security,High,TRUE,10.13.80.237,FALSE
90,45589,whitekimberly,Employee,Operations,High,TRUE,192.168.97.31,TRUE
91,15343,danielwells,Employee,HR,Medium,TRUE,192.168.14.122,FALSE
92,46034,cholt,Manager,Security,Medium,TRUE,192.168.116.62,FALSE
93,4356,fporter,Manager,Finance,High,FALSE,192.168.13.136,TRUE
94,29556,jessica07,Manager,Security,Low,FALSE,172.23.117.115,TRUE
95,37879,timothy15,Executive,Operations,High,TRUE,192.168.56.59,FALSE
96,24627,joyceortiz,Manager,HR,Medium,FALSE,172.22.245.236,FALSE
97,25608,marcusbishop,Manager,Finance,Low,TRUE,172.22.47.93,FALSE
98,37513,jessicajordan,Manager,Operations,Medium,FALSE,192.168.248.235,FALSE
99,1562,flawrence,Manager,Operations,Low,TRUE,192.168.251.121,TRUE
100,18005,andersonjavier,Contractor,Security,High,TRUE,172.31.241.190,FALSE
101,2647,uthomas,Admin,Finance,Low,TRUE,10.167.149.216,FALSE
102,37547,daniel64,Manager,Operations,Low,TRUE,172.17.97.215,FALSE
103,7711,dennis81,Contractor,IT,High,TRUE,172.22.9.31,FALSE
104,2720,efowler,Admin,HR,Medium,TRUE,10.44.67.46,TRUE
105,36144,mdavis,Executive,Finance,Low,TRUE,10.182.104.12,FALSE
106,24782,laura73,Admin,HR,Medium,TRUE,172.24.168.15,TRUE
107,23540,harringtonjoshua,Admin,Operations,Medium,TRUE,192.168.33.67,FALSE
108,1931,tstone,Executive,HR,High,FALSE,172.29.41.192,FALSE
109,10759,reeddebra,Manager,Security,High,FALSE,172.25.224.61,FALSE
110,22850,riversalicia,Employee,Finance,Low,TRUE,192.168.127.72,FALSE
111,45884,jeff89,Executive,HR,Low,TRUE,192.168.142.232,FALSE
112,37913,joseph08,Employee,Finance,Low,FALSE,10.7.25.253,FALSE
113,47063,johnreyes,Executive,Operations,High,TRUE,192.168.144.145,FALSE
114,19247,oaguilar,Manager,IT,Medium,TRUE,10.166.249.222,FALSE
115,44705,monica74,Executive,IT,High,TRUE,172.20.187.215,TRUE
116,21178,tcontreras,Admin,Security,High,FALSE,172.31.19.248,FALSE
117,13350,leeamanda,Employee,HR,Medium,TRUE,192.168.252.255,FALSE
118,45083,lbishop,Admin,IT,High,TRUE,172.24.203.100,FALSE
119,39747,carly77,Executive,Security,High,FALSE,10.175.88.197,FALSE
120,41492,amybyrd,Admin,IT,Low,TRUE,172.21.163.195,FALSE
121,32709,elizabethjohnson,Contractor,Security,High,TRUE,172.25.100.6,FALSE
122,47241,richard51,Admin,IT,High,TRUE,172.17.116.68,FALSE
123,18348,michelle54,Admin,Operations,Low,FALSE,10.250.129.172,FALSE
124,47164,sloanpaul,Contractor,Operations,Low,TRUE,10.231.79.86,FALSE
125,43653,betty24,Manager,IT,Low,TRUE,10.248.193.84,TRUE
126,26026,lunatina,Contractor,Security,Low,TRUE,10.59.104.5,TRUE
127,49482,saralewis,Manager,Finance,Low,FALSE,10.172.120.75,FALSE
128,4325,darlenecowan,Contractor,IT,Medium,TRUE,172.29.164.153,TRUE
129,42424,robertsonbrittany,Manager,Finance,High,FALSE,10.109.58.113,FALSE
130,25698,david42,Executive,IT,Low,TRUE,172.30.199.17,TRUE
131,20170,sarahmolina,Manager,Finance,High,TRUE,192.168.183.211,TRUE
132,48796,jamesdavid,Admin,Security,High,FALSE,192.168.103.97,FALSE
133,8133,ilynch,Executive,Security,Medium,FALSE,172.18.220.92,FALSE
134,23690,deborahball,Contractor,IT,Medium,FALSE,10.60.37.255,TRUE
135,2899,howardkimberly,Manager,Security,High,FALSE,10.168.93.128,FALSE
136,15557,alexander53,Employee,Finance,Medium,FALSE,10.159.232.36,FALSE
137,34522,hortonraymond,Contractor,Security,Low,TRUE,10.103.69.129,FALSE
138,20600,emilyfarrell,Executive,IT,Low,TRUE,10.239.82.71,FALSE
139,4144,michellesalinas,Executive,Finance,Low,TRUE,10.15.205.168,FALSE
140,20214,richard00,Manager,Security,High,TRUE,10.102.174.247,FALSE
